n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda,mean_directional_accuracy,mean_rmse,mean_r2,selection_score
50,2,0.03,0.7,0.7,0.5,5.0,0.5925925925925926,0.3316804114567309,-1.0980765299262238,0.576008572019756
50,2,0.03,0.7,0.7,0.5,2.0,0.5925925925925926,0.33849113124494956,-1.2621285801800195,0.5756680360303451
50,3,0.03,0.6,0.7,0.5,10.0,0.5833333333333334,0.3248976107437829,-0.9030450704892049,0.5670884527961442
100,2,0.03,0.6,0.7,2.0,10.0,0.5833333333333334,0.32598769292183244,-0.9455689139782264,0.5670339486872418
50,3,0.03,0.6,0.7,1.0,5.0,0.5833333333333334,0.3277711102695078,-0.9643878997831106,0.566944777819858
100,2,0.03,0.6,0.6,2.0,10.0,0.5833333333333334,0.3273146124069309,-0.9681859706941085,0.5669676027129869
50,3,0.03,0.6,0.6,0.5,5.0,0.5833333333333334,0.3295012782058165,-0.9872425354163137,0.5668582694230425
100,2,0.03,0.7,0.6,2.0,10.0,0.5833333333333334,0.32880533461261713,-0.988351236328425,0.5668930666027026
100,3,0.03,0.6,0.7,2.0,5.0,0.5833333333333334,0.32793975128838876,-0.9960828965325786,0.5669363457689139
100,2,0.03,0.7,0.7,2.0,10.0,0.5833333333333334,0.32932686236281145,-0.9983647993209117,0.5668669902151928
50,2,0.03,0.6,0.6,0.5,5.0,0.5833333333333334,0.32873135433490835,-1.0035688862788932,0.566896765616588
100,3,0.03,0.6,0.7,1.0,10.0,0.5833333333333334,0.33004714593560786,-1.0115535993552045,0.566830976036553
100,3,0.03,0.6,0.6,1.0,10.0,0.5833333333333334,0.33054286555641416,-1.0119716425582042,0.5668061900555127
100,3,0.03,0.7,0.7,2.0,10.0,0.5833333333333334,0.33009804948968857,-1.0139214534918926,0.5668284308588489
50,2,0.03,0.7,0.6,1.0,5.0,0.5833333333333334,0.3290312389962991,-1.0139702187921777,0.5668817713835184
100,3,0.03,0.7,0.6,2.0,10.0,0.5833333333333334,0.3305816674724077,-1.019175533756695,0.566804249959713
100,3,0.03,0.6,0.7,0.5,10.0,0.5833333333333334,0.3302778258122856,-1.0205625039969854,0.5668194420427191
50,3,0.03,0.6,0.6,1.0,2.0,0.5833333333333334,0.32996728796915803,-1.0222479390888661,0.5668349689348755
100,3,0.03,0.6,0.6,2.0,5.0,0.5833333333333334,0.3301800187869124,-1.0237222993623536,0.5668243323939878
50,3,0.03,0.7,0.6,1.0,5.0,0.5833333333333334,0.32994450811551035,-1.0261916375994315,0.5668361079275579
50,2,0.03,0.6,0.6,1.0,2.0,0.5833333333333334,0.3296367794329321,-1.0264563615257076,0.5668514943616868
100,3,0.01,0.6,0.6,0.5,2.0,0.5833333333333334,0.33054490169568085,-1.0327015487420657,0.5668060882485493
100,2,0.03,0.6,0.6,2.0,5.0,0.5833333333333334,0.3306022434000822,-1.0331024466722212,0.5668032211633293
50,2,0.03,0.6,0.7,0.5,2.0,0.5833333333333334,0.3286938163424541,-1.0362764125851989,0.5668986425162107
